Time,CaSSavg,CaJSRavg,JRyRtot,PRyR_open,PRyR_ready,PNorm_mode,PnotVinact,PLType_open,CaToT2,PIto2_open,CaJSRtot,CaSStot
11.714,0.000288264,0.935313,1.8929e-05,0.0013,0.3563,0.9925,0.9175,0,11.0222,0.00133333,0.000910558,6.01109
11.715,0.000287485,0.935384,1.89859e-05,0.0013,0.356833,0.992333,0.917833,0,11.0219,0.001,0.000910105,6.01129
11.716,0.000289235,0.935451,1.91081e-05,0.0013,0.357633,0.992333,0.918333,0,11.0217,0.001,0.000912809,6.01149
11.717,0.000288446,0.935517,1.91445e-05,0.0013,0.358367,0.9925,0.9185,0,11.0215,0.00183333,0.00091262,6.01168
11.718,0.00027661,0.93559,1.61427e-05,0.0011,0.3593,0.992167,0.918667,0,11.0213,0.00133333,0.000901918,6.0119
11.719,0.000271777,0.935677,1.60878e-05,0.0011,0.360267,0.992333,0.919,0,11.021,0.002,0.000892898,6.01216
11.72,0.000273413,0.93576,1.65605e-05,0.00113333,0.360967,0.992333,0.919167,0,11.0208,0.00216667,0.000891557,6.01242
11.721,0.000272271,0.93584,1.67576e-05,0.00113333,0.361433,0.992333,0.919333,0,11.0206,0.000833333,0.000891952,6.01266
11.722,0.000258426,0.935928,1.22886e-05,0.000833333,0.362167,0.992167,0.919333,0,11.0204,0.00183333,0.000877438,6.01293
11.723,0.000254551,0.93603,1.28841e-05,0.000866667,0.362567,0.992333,0.9195,0,11.0201,0.001,0.000863346,6.01325
11.724,0.000252794,0.936131,1.28235e-05,0.000866667,0.3634,0.9925,0.9195,0,11.0199,0.00116667,0.000858355,6.01356
11.725,0.000248011,0.936236,1.18376e-05,0.0008,0.363967,0.9925,0.9195,0,11.0197,0.000666667,0.000853442,6.01389
11.726,0.00024423,0.936342,1.13309e-05,0.000766667,0.364833,0.992333,0.919667,0,11.0195,0.00166667,0.000849838,6.01421
11.727,0.000240924,0.936452,1.08762e-05,0.000733333,0.3655,0.9925,0.920167,0,11.0193,0.001,0.000846123,6.01455
11.728,0.000238435,0.936563,1.14842e-05,0.000766667,0.3664,0.992833,0.920333,0,11.019,0.00166667,0.000842426,6.0149
11.729,0.000239336,0.93667,1.0448e-05,0.0007,0.367167,0.992833,0.9205,0,11.0188,0.00166667,0.000843161,6.01523
11.73,0.000237927,0.936777,1.10943e-05,0.000733333,0.367967,0.993,0.920667,0,11.0186,0.00133333,0.000840808,6.01556
11.731,0.000235838,0.936883,1.05385e-05,0.0007,0.368967,0.993,0.920667,0,11.0184,0.00166667,0.000836973,6.01588
11.732,0.000237571,0.936986,1.04711e-05,0.0007,0.369667,0.993,0.921167,0,11.0182,0.00133333,0.000833632,6.0162
11.733,0.000232572,0.937092,9.42259e-06,0.000633333,0.370367,0.993,0.921167,0,11.018,0.001,0.000827893,6.01652
11.734,0.000223483,0.93721,7.9624e-06,0.000533333,0.371233,0.992833,0.921333,0,11.0177,0.00166667,0.000817733,6.01689
11.735,0.00021974,0.937332,7.41885e-06,0.0005,0.372133,0.993,0.921333,0,11.0175,0.00183333,0.000812891,6.01726
11.736,0.000219193,0.937454,7.43227e-06,0.0005,0.372933,0.993167,0.9215,0,11.0173,0.002,0.000810966,6.01764
11.737,0.000224873,0.937565,8.53015e-06,0.000566667,0.373467,0.992833,0.921833,0,11.0171,0.0015,0.000813849,6.01797
11.738,0.000226766,0.937672,9.02788e-06,0.0006,0.374167,0.993,0.922167,0,11.0169,0.00133333,0.000812848,6.0183
11.739,0.000222353,0.937778,8.1585e-06,0.000533333,0.3749,0.993,0.922333,0,11.0167,0.0005,0.000810155,6.01862
11.74,0.000226796,0.93788,9.16962e-06,0.0006,0.375667,0.993,0.922333,0,11.0165,0.00183333,0.000813227,6.01893
11.741,0.000221462,0.937986,8.11146e-06,0.000533333,0.376433,0.992833,0.922333,0,11.0163,0.00233333,0.000807746,6.01925
11.742,0.000227615,0.938085,9.72933e-06,0.000633333,0.376933,0.993167,0.922667,0,11.016,0.0015,0.000813636,6.01956
11.743,0.000226,0.938181,8.73828e-06,0.000566667,0.3777,0.9935,0.922667,0,11.0158,0.00133333,0.000811934,6.01985
11.744,0.000225998,0.938279,8.72232e-06,0.000566667,0.378433,0.9935,0.922667,0,11.0156,0.0015,0.000806483,6.02014
11.745,0.000226015,0.938377,9.19252e-06,0.0006,0.3791,0.993167,0.922833,0,11.0154,0.001,0.000802702,6.02044
11.746,0.000225603,0.938471,9.19408e-06,0.0006,0.3796,0.9935,0.923333,0,11.0152,0.001,0.000803503,6.02072
11.747,0.00022243,0.938568,8.61547e-06,0.000566667,0.380467,0.993667,0.9235,0,11.015,0.002,0.000800962,6.02101
11.748,0.000214502,0.938677,7.64199e-06,0.0005,0.381233,0.993833,0.9235,0,11.0148,0.00283333,0.0007922,6.02134
11.749,0.000216242,0.938784,7.64962e-06,0.0005,0.382033,0.994167,0.923667,0,11.0146,0.00166667,0.000792524,6.02167
11.75,0.000218219,0.938886,8.18579e-06,0.000533333,0.382867,0.994333,0.923667,0,11.0144,0.00233333,0.000794756,6.02197
11.751,0.000226046,0.938977,9.79459e-06,0.000633333,0.383533,0.994667,0.923833,0,11.0142,0.001,0.000802631,6.02224
