Time,V,mNa,hNa,jNa,Nai,Ki,Cai,CaNSR,xKs,LTRPNCa,HTRPNCa,C0Kv43,C1Kv43,C2Kv43,C3Kv43,OKv43,CI0Kv43,CI1Kv43,CI2Kv43,CI3Kv43,OIKv43,C0Kv14,C1Kv14,C2Kv14,C3Kv14,OKv14,CI0Kv14,CI1Kv14,CI2Kv14,CI3Kv14,OIKv14,CaToT,C1Herg,C2Herg,C3Herg,OHerg,IHerg
10.031,26.455525,0.99969323,2.9056207e-09,0.0017606373,10.660361,131.84985,0.00066547487,0.90846075,0.090278603,0.24094417,0.98389937,1.4737841e-08,2.8389628e-06,0.00020331056,0.0063846663,0.079458333,0,5.987944e-09,7.0567448e-06,0.0044302025,0.9088289,0,0,1.4759934e-07,0.00017417881,0.075076248,4.1047489e-10,-1.0905487e-06,1.1551426e-06,2.4429038e-05,0.92459595,11.091588,0.17691482,0.46904124,0.065880537,0.11378088,0.17438251
10.032,26.966514,0.99970907,2.6965785e-09,0.0013017528,10.660255,131.84973,0.00068989636,0.90374698,0.094294712,0.25162488,0.98405307,1.1588903e-08,2.3031988e-06,0.00017018435,0.0055149175,0.07080189,0,5.3153338e-09,6.5575235e-06,0.0043038481,0.91851561,0,0,1.208606e-07,0.00014880886,0.066925235,3.9031739e-10,-1.086222e-06,1.1505139e-06,2.3627016e-05,0.93277316,11.096412,0.16973088,0.4630437,0.064913894,0.11619199,0.18611954
10.033,27.535456,0.99972548,2.4850919e-09,0.00096348464,10.66015,131.84962,0.00071291139,0.89901084,0.098313894,0.26225684,0.98421164,8.8927653e-09,1.8350004e-06,0.00014079504,0.0047387156,0.06315059,0,4.6627262e-09,6.044502e-06,0.0041608675,0.92711647,0,0,9.7927743e-08,0.00012654009,0.059741832,3.6877527e-10,-1.0788863e-06,1.1426905e-06,2.2690985e-05,0.93997979,11.101027,0.16246031,0.45722809,0.063927594,0.11842783,0.19795617
10.034,27.863235,0.99973513,2.3491096e-09,0.00071382056,10.660045,131.84952,0.00073500126,0.8942741,0.10233407,0.27279194,0.98437449,6.8721543e-09,1.4698114e-06,0.00011691368,0.0040807631,0.056345903,0,4.1921146e-09,5.6733457e-06,0.0040830432,0.93468155,0,0,8.0589674e-08,0.00010850608,0.053405503,3.5404719e-10,-1.0715339e-06,1.1348515e-06,2.1927719e-05,0.94633494,11.105405,0.15529089,0.45138139,0.062961498,0.12050228,0.20986394
10.035,28.203571,0.99974444,2.234292e-09,0.00052915638,10.65994,131.84942,0.00075676384,0.88954329,0.10634839,0.28321325,0.9845414,5.4906451e-09,1.2071458e-06,9.8716208e-05,0.0035429438,0.050262761,0,3.8604561e-09,5.3968521e-06,0.0040038534,0.94140044,0,0,6.7822841e-08,9.4162713e-05,0.047806737,3.4211298e-10,-1.0681154e-06,1.1311979e-06,2.139744e-05,0.95194859,11.109664,0.14860816,0.44516543,0.062012643,0.12244845,0.22176532
10.036,28.45367,0.99975109,2.1475817e-09,0.00038095348,10.659826,131.84933,0.00078093204,0.88434784,0.11075639,0.29453769,0.98472947,4.373363e-09,9.8632235e-07,8.2750869e-05,0.0030476821,0.044333842,0,3.5871531e-09,5.169772e-06,0.0039521124,0.94789278,0,0,5.6849607e-08,8.1155474e-05,0.042397377,-3.3318188e-10,1.0653722e-06,-1.1267215e-06,2.1062278e-05,0.95737143,11.114243,0.14175401,0.43800622,0.060957101,0.12444942,0.23483325
10.037,28.661004,0.99975655,2.0772959e-09,0.0002743998,10.659711,131.84924,0.00080556639,0.87916297,0.11515272,0.30571665,0.98492208,3.5598345e-09,8.1915318e-07,7.0128558e-05,0.0026359502,0.039108749,0,3.3802655e-09,4.9923511e-06,0.0039096752,0.953585,0,0,4.8266049e-08,7.0481338e-05,0.037672241,3.2655409e-10,-1.0649175e-06,1.1277561e-06,2.0573893e-05,0.96210761,11.118688,0.13549545,0.4304727,0.059881626,0.12632069,0.24782954
10.038,28.701629,0.9997575,2.0665385e-09,0.00019768191,10.659598,131.84915,0.00083142893,0.87397044,0.11952998,0.31677861,0.98511949,3.0352321e-09,7.0434432e-07,6.0815666e-05,0.0023057554,0.034486116,0,3.3292842e-09,4.9630101e-06,0.0039170571,0.95853991,0,0,4.2438326e-08,6.2332137e-05,0.033539132,-3.2544592e-10,1.0654936e-06,-1.1269e-06,2.0677314e-05,0.9662489,11.122958,0.13005016,0.42238873,0.058801397,0.12809749,0.26066223
10.039,28.794787,0.99975987,2.0381083e-09,0.00014243479,10.659485,131.84907,0.00085739493,0.86877327,0.12388839,0.32773182,0.98532164,2.607871e-09,6.0917926e-07,5.2948792e-05,0.002020943,0.030419794,0,3.2513086e-09,4.8991962e-06,0.003905274,0.96291085,0,0,3.7249491e-08,5.5159045e-05,0.029924647,3.2294375e-10,-1.0655795e-06,1.1284439e-06,2.0470247e-05,0.96987064,11.12722,0.12520692,0.41401183,0.057676538,0.12977832,0.27332639
10.04,28.724931,0.99975835,2.0520835e-09,0.00010263674,10.659372,131.84899,0.00088214311,0.86360264,0.12822621,0.33854271,0.98552803,2.2780007e-09,5.3344033e-07,4.648387e-05,0.0017789547,0.026838074,0,3.2496127e-09,4.9176126e-06,0.0039372845,0.96670907,0,0,3.3252465e-08,4.92596e-05,0.026762478,-3.2440124e-10,1.0660106e-06,-1.1274575e-06,2.0662348e-05,0.97303865,11.131281,0.12090523,0.40539964,0.056531714,0.13137086,0.28579257
