Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.054,-1.05682e-11,0.529154,0.402043,0.0997097,0.055843,0.238095,-0.213826,0.292884,0.0252107,-0.0183088,-0.0531604,-3.39973,0.000104573,0.000296479,0.000777488,0.000598354,0.00157383,0.0731669,0.0265428,0.0268091,-0.000266233,2.43934,0,0.397259
0.055,-8.10537e-12,0.537015,0.408343,0.0901381,0.0569202,0.234855,-0.237057,0.292783,0.0253524,-0.0182735,-0.0534972,-3.30585,0.000101685,0.00029941,0.00075106,0.00059336,0.00154629,0.0651649,0.0249733,0.0252275,-0.000254263,2.306,0,0.336732
0.056,-6.259e-12,0.544414,0.414255,0.0819868,0.0580671,0.231392,-0.260483,0.292677,0.0254837,-0.0182482,-0.0538491,-3.27872,0.000100851,0.000302143,0.000724047,0.000587696,0.00151297,0.0583682,0.0236187,0.0238629,-0.000244251,2.24709,0,0.284069
0.057,-4.73129e-12,0.552094,0.420512,0.0747708,0.0590207,0.228506,-0.284179,0.292589,0.0256147,-0.018204,-0.0541365,-3.2556,0.00010014,0.000304881,0.000697478,0.000582154,0.00149901,0.0523441,0.0224267,0.0226615,-0.000234893,2.24034,0,0.281331
0.058,-3.70059e-12,0.558563,0.425623,0.0684333,0.0606267,0.223631,-0.311127,0.292445,0.0257373,-0.018212,-0.0546105,-3.1049,9.55044e-05,0.000307458,0.000671477,0.000576634,0.00145628,0.0471052,0.021328,0.0215562,-0.000228114,2.49658,0,0.662791
0.059,-2.99831e-12,0.565084,0.429827,0.0626373,0.0628477,0.216875,-0.341141,0.292248,0.0258522,-0.0182656,-0.0552462,-3.16309,9.72943e-05,0.000309891,0.000643373,0.000570312,0.00143338,0.0423461,0.0202913,0.0205145,-0.000223192,2.25642,0,0.334049
0.06,-2.30718e-12,0.573373,0.435184,0.0576565,0.0642221,0.212693,-0.368376,0.292128,0.0259675,-0.0182521,-0.0556287,-2.93468,9.02684e-05,0.00031234,0.000616565,0.000564182,0.00138902,0.038211,0.0194455,0.0196631,-0.000217518,2.15037,0,0.434662
0.061,-1.81245e-12,0.581084,0.439817,0.0532759,0.0660234,0.20722,-0.39751,0.291974,0.0260743,-0.0182714,-0.0561182,-2.8393,8.73347e-05,0.000314625,0.000588536,0.000557607,0.00135409,0.0346091,0.0186668,0.0188801,-0.000213343,2.01789,0,0.372158
0.062,-1.40185e-12,0.589026,0.444561,0.0495133,0.0676298,0.202354,-0.425891,0.291838,0.0261755,-0.0182778,-0.0565439,-2.88021,8.85929e-05,0.000316802,0.000560925,0.000550898,0.00131785,0.0315147,0.0179986,0.0182082,-0.00020958,2.22648,0,0.516663
0.063,-1.12342e-12,0.596289,0.448315,0.0461436,0.0698627,0.195628,-0.457072,0.291652,0.0262692,-0.0183277,-0.0571195,-2.9229,8.99062e-05,0.00031883,0.000533254,0.000543869,0.00128822,0.0287831,0.0173605,0.0175678,-0.000207303,2.32625,0,0.544993
